"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"ID112","GRP46","GRP46","GRP46","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47","GRP47"
"ID114",NA,"GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID118",NA,"GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID124",NA,"GRP46","GRP46","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37"
"ID125","GRP46","GRP46","GRP46","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48","GRP48"
"ID126",NA,"GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID127",NA,"GRP46","GRP46","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37","GRP37"
"ID128",NA,NA,NA,NA,NA,"GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID175","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID179","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID180","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID93","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID176","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID177","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46","GRP46"
"ID97","GRP46","GRP46","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36","GRP36"
"ID235","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64"
"ID271","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64","GRP64"
"ID265","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84","GRP84"
